# Pathway	RCE_322_Abundance
UNMAPPED	7539069.5951154698
UNINTEGRATED	4522293.0122570656
UNINTEGRATED|unclassified	2627466.1845232132
UNINTEGRATED|g__Muribaculum.s__Muribaculum_intestinale	395286.8456777111
UNINTEGRATED|g__Prevotella.s__Prevotella_sp_MGM2	226881.8084611270
UNINTEGRATED|g__Muribaculaceae_unclassified.s__Muribaculaceae_bacterium_DSM_103720	158503.1308233175
UNINTEGRATED|g__Helicobacter.s__Helicobacter_typhlonius	154878.7449540871
UNINTEGRATED|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_A2	132499.0461430043
UNINTEGRATED|g__Bacteroides.s__Bacteroides_sartorii	116057.4356558340
UNINTEGRATED|g__Parabacteroides.s__Parabacteroides_distasonis	98348.9013353875
UNINTEGRATED|g__Bacteroides.s__Bacteroides_uniformis	95021.9664615992
UNINTEGRATED|g__Prevotella.s__Prevotella_sp_MGM1	91456.1530163682
UNINTEGRATED|g__Lactobacillus.s__Lactobacillus_johnsonii	73108.3736685403
UNINTEGRATED|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_28_4	44353.5324161418
UNINTEGRATED|g__Dorea.s__Dorea_sp_5_2	39888.8948467405
UNINTEGRATED|g__Bacteroides.s__Bacteroides_caecimuris	35427.4328093728
UNINTEGRATED|g__Oscillibacter.s__Oscillibacter_sp_1_3	34676.4083798856
UNINTEGRATED|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_10_1	28694.7144612166
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_pseudolongum	23161.8165487188
UNINTEGRATED|g__Mucispirillum.s__Mucispirillum_schaedleri	11414.6000130296
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_ASF500	10907.3339410609
UNINTEGRATED|g__Helicobacter.s__Helicobacter_hepaticus	8250.9650761371
UNINTEGRATED|g__Bacteroides.s__Bacteroides_faecichinchillae	6836.9836121420
UNINTEGRATED|g__Bacteroides.s__Bacteroides_uniformis_CAG_3	6227.5943078237
UNINTEGRATED|g__Alistipes.s__Alistipes_timonensis	6163.0413299343
UNINTEGRATED|g__Lactobacillus.s__Lactobacillus_reuteri	5165.1680158264
UNINTEGRATED|g__Romboutsia.s__Romboutsia_ilealis	2369.2421028606
TRNA-CHARGING-PWY: tRNA charging	4246.1629101596
