# Pathway	RCE_318_Coverage
UNMAPPED	1.0000000000
UNINTEGRATED	1.0000000000
UNINTEGRATED|g__Acetatifactor.s__Acetatifactor_muris	1.0000000000
UNINTEGRATED|g__Alistipes.s__Alistipes_timonensis	1.0000000000
UNINTEGRATED|g__Bacteroides.s__Bacteroides_caecimuris	1.0000000000
UNINTEGRATED|g__Bacteroides.s__Bacteroides_faecichinchillae	1.0000000000
UNINTEGRATED|g__Bacteroides.s__Bacteroides_sartorii	1.0000000000
UNINTEGRATED|g__Bacteroides.s__Bacteroides_uniformis	1.0000000000
UNINTEGRATED|g__Bacteroides.s__Bacteroides_uniformis_CAG_3	1.0000000000
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_pseudolongum	1.0000000000
UNINTEGRATED|g__Faecalibaculum.s__Faecalibaculum_rodentium	1.0000000000
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_ASF500	1.0000000000
UNINTEGRATED|g__Helicobacter.s__Helicobacter_hepaticus	1.0000000000
UNINTEGRATED|g__Helicobacter.s__Helicobacter_typhlonius	1.0000000000
UNINTEGRATED|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_28_4	1.0000000000
UNINTEGRATED|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_A2	1.0000000000
UNINTEGRATED|g__Lactobacillus.s__Lactobacillus_johnsonii	1.0000000000
UNINTEGRATED|g__Lactobacillus.s__Lactobacillus_murinus	1.0000000000
UNINTEGRATED|g__Mucispirillum.s__Mucispirillum_schaedleri	1.0000000000
UNINTEGRATED|g__Muribaculaceae_unclassified.s__Muribaculaceae_bacterium_DSM_103720	1.0000000000
UNINTEGRATED|g__Muribaculum.s__Muribaculum_intestinale	1.0000000000
UNINTEGRATED|g__Oscillibacter.s__Oscillibacter_sp_1_3	1.0000000000
UNINTEGRATED|g__Parabacteroides.s__Parabacteroides_distasonis	1.0000000000
UNINTEGRATED|g__Prevotella.s__Prevotella_sp_MGM1	1.0000000000
UNINTEGRATED|g__Prevotella.s__Prevotella_sp_MGM2	1.0000000000
UNINTEGRATED|g__Romboutsia.s__Romboutsia_ilealis	1.0000000000
UNINTEGRATED|unclassified	1.0000000000
TRNA-CHARGING-PWY: tRNA charging	1.0000000000
TRNA-CHARGING-PWY: tRNA charging|unclassified	1.0000000000
TRNA-CHARGING-PWY: tRNA charging|g__Muribaculaceae_unclassified.s__Muribaculaceae_bacterium_DSM_103720	0.0648950401
TRNA-CHARGING-PWY: tRNA charging|g__Alistipes.s__Alistipes_timonensis	0.0000571708
TRNA-CHARGING-PWY: tRNA charging|g__Bacteroides.s__Bacteroides_caecimuris	0.2606475835
TRNA-CHARGING-PWY: tRNA charging|g__Bacteroides.s__Bacteroides_sartorii	0.1991685420
TRNA-CHARGING-PWY: tRNA charging|g__Firmicutes_unclassified.s__Firmicutes_bacterium_ASF500	0.8257440163
TRNA-CHARGING-PWY: tRNA charging|g__Parabacteroides.s__Parabacteroides_distasonis	0.0343771382
TRNA-CHARGING-PWY: tRNA charging|g__Faecalibaculum.s__Faecalibaculum_rodentium	0.1415796858
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)	1.0000000000
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|unclassified	1.0000000000
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Helicobacter.s__Helicobacter_typhlonius	0.9938963250
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Mucispirillum.s__Mucispirillum_schaedleri	0.8157855513
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Bacteroides.s__Bacteroides_caecimuris	0.9812900915
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Bifidobacterium.s__Bifidobacterium_pseudolongum	0.8261332372
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Parabacteroides.s__Parabacteroides_distasonis	0.5916941528
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Faecalibaculum.s__Faecalibaculum_rodentium	0.6473253579
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Helicobacter.s__Helicobacter_hepaticus	0.6160220200
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Bacteroides.s__Bacteroides_uniformis	0.6360243699
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Bacteroides.s__Bacteroides_uniformis_CAG_3	0.2509751226
PWY-7111: pyruvate fermentation to isobutanol (engineered)	1.0000000000
PWY-7111: pyruvate fermentation to isobutanol (engineered)|unclassified	1.0000000000
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Helicobacter.s__Helicobacter_typhlonius	0.9938963250
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Muribaculum.s__Muribaculum_intestinale	0.9912627314
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Prevotella.s__Prevotella_sp_MGM2	0.3372531276
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Mucispirillum.s__Mucispirillum_schaedleri	0.5881869403
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Prevotella.s__Prevotella_sp_MGM1	0.1132232559
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Muribaculaceae_unclassified.s__Muribaculaceae_bacterium_DSM_103720	0.2256491834
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Bacteroides.s__Bacteroides_caecimuris	0.0449500435
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Bacteroides.s__Bacteroides_sartorii	0.0994556347
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Bifidobacterium.s__Bifidobacterium_pseudolongum	0.6429219179
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Parabacteroides.s__Parabacteroides_distasonis	0.1247103266
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Helicobacter.s__Helicobacter_hepaticus	0.7630679230
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_28_4	0.3683673251
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Firmicutes_unclassified.s__Firmicutes_bacterium_ASF500	0.6012210717
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_A2	0.2855695653
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Faecalibaculum.s__Faecalibaculum_rodentium	0.2007493123
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Alistipes.s__Alistipes_timonensis	0.0000000000
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Bacteroides.s__Bacteroides_uniformis	0.3571602606
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Bacteroides.s__Bacteroides_uniformis_CAG_3	0.2030747946
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Bacteroides.s__Bacteroides_faecichinchillae	0.4070996939
VALSYN-PWY: L-valine biosynthesis	1.0000000000
VALSYN-PWY: L-valine biosynthesis|unclassified	1.0000000000
VALSYN-PWY: L-valine biosynthesis|g__Helicobacter.s__Helicobacter_typhlonius	0.9938963250
VALSYN-PWY: L-valine biosynthesis|g__Muribaculum.s__Muribaculum_intestinale	0.9912627314
VALSYN-PWY: L-valine biosynthesis|g__Prevotella.s__Prevotella_sp_MGM2	0.3372531276
VALSYN-PWY: L-valine biosynthesis|g__Mucispirillum.s__Mucispirillum_schaedleri	0.8157855513
VALSYN-PWY: L-valine biosynthesis|g__Prevotella.s__Prevotella_sp_MGM1	0.1132232559
VALSYN-PWY: L-valine biosynthesis|g__Muribaculaceae_unclassified.s__Muribaculaceae_bacterium_DSM_103720	0.2256491834
VALSYN-PWY: L-valine biosynthesis|g__Bacteroides.s__Bacteroides_caecimuris	0.9812900915
VALSYN-PWY: L-valine biosynthesis|g__Bacteroides.s__Bacteroides_sartorii	0.0994556347
VALSYN-PWY: L-valine biosynthesis|g__Bifidobacterium.s__Bifidobacterium_pseudolongum	0.8261332372
VALSYN-PWY: L-valine biosynthesis|g__Parabacteroides.s__Parabacteroides_distasonis	0.5916941528
VALSYN-PWY: L-valine biosynthesis|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_28_4	0.3683673251
VALSYN-PWY: L-valine biosynthesis|g__Firmicutes_unclassified.s__Firmicutes_bacterium_ASF500	0.6012210717
VALSYN-PWY: L-valine biosynthesis|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_A2	0.2855695653
VALSYN-PWY: L-valine biosynthesis|g__Faecalibaculum.s__Faecalibaculum_rodentium	0.6473253579
VALSYN-PWY: L-valine biosynthesis|g__Helicobacter.s__Helicobacter_hepaticus	0.6160220200
VALSYN-PWY: L-valine biosynthesis|g__Alistipes.s__Alistipes_timonensis	0.0000000000
VALSYN-PWY: L-valine biosynthesis|g__Bacteroides.s__Bacteroides_uniformis	0.6360243699
VALSYN-PWY: L-valine biosynthesis|g__Bacteroides.s__Bacteroides_uniformis_CAG_3	0.2509751226
VALSYN-PWY: L-valine biosynthesis|g__Bacteroides.s__Bacteroides_faecichinchillae	0.4070996939
PWY-5686: UMP biosynthesis	1.0000000000
PWY-5686: UMP biosynthesis|unclassified	1.0000000000
PWY-5686: UMP biosynthesis|g__Helicobacter.s__Helicobacter_typhlonius	0.0028905878
PWY-5686: UMP biosynthesis|g__Muribaculum.s__Muribaculum_intestinale	0.0000013539
PWY-5686: UMP biosynthesis|g__Prevotella.s__Prevotella_sp_MGM1	0.0266869353
PWY-5686: UMP biosynthesis|g__Mucispirillum.s__Mucispirillum_schaedleri	0.0000466205
PWY-5686: UMP biosynthesis|g__Muribaculaceae_unclassified.s__Muribaculaceae_bacterium_DSM_103720	0.0264289296
PWY-5686: UMP biosynthesis|g__Bacteroides.s__Bacteroides_sartorii	0.2119958596
PWY-5686: UMP biosynthesis|g__Bacteroides.s__Bacteroides_caecimuris	0.0157152573
PWY-5686: UMP biosynthesis|g__Alistipes.s__Alistipes_timonensis	0.0000000000
PWY-5686: UMP biosynthesis|g__Bifidobacterium.s__Bifidobacterium_pseudolongum	0.0045149730
PWY-5686: UMP biosynthesis|g__Parabacteroides.s__Parabacteroides_distasonis	0.1026140492
PWY-5686: UMP biosynthesis|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_28_4	0.2563246992
PWY-5686: UMP biosynthesis|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_A2	0.2043017008
PWY-5686: UMP biosynthesis|g__Faecalibaculum.s__Faecalibaculum_rodentium	0.6065553357
PWY-5686: UMP biosynthesis|g__Bacteroides.s__Bacteroides_uniformis	0.2792644778
PWY-3841: folate transformations II	1.0000000000
PWY-3841: folate transformations II|unclassified	1.0000000000
PWY-3841: folate transformations II|g__Muribaculum.s__Muribaculum_intestinale	0.1723794526
PWY-3841: folate transformations II|g__Prevotella.s__Prevotella_sp_MGM1	0.1894086954
PWY-3841: folate transformations II|g__Muribaculaceae_unclassified.s__Muribaculaceae_bacterium_DSM_103720	0.2000357236
PWY-3841: folate transformations II|g__Alistipes.s__Alistipes_timonensis	0.0401833011
PWY-3841: folate transformations II|g__Bacteroides.s__Bacteroides_sartorii	0.1761098110
PWY-3841: folate transformations II|g__Bacteroides.s__Bacteroides_caecimuris	0.1354101377
PWY-3841: folate transformations II|g__Parabacteroides.s__Parabacteroides_distasonis	0.3015445490
PWY-3841: folate transformations II|g__Faecalibaculum.s__Faecalibaculum_rodentium	0.7269747115
PWY-3841: folate transformations II|g__Lactobacillus.s__Lactobacillus_murinus	0.3935876112
PWY-3841: folate transformations II|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_28_4	0.0015685563
PWY-3841: folate transformations II|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_A2	0.0003055396
PWY-3841: folate transformations II|g__Bacteroides.s__Bacteroides_uniformis_CAG_3	0.3579095216
PWY-6700: queuosine biosynthesis	1.0000000000
PWY-6700: queuosine biosynthesis|unclassified	1.0000000000
PWY-6700: queuosine biosynthesis|g__Helicobacter.s__Helicobacter_typhlonius	0.1641804974
PWY-6700: queuosine biosynthesis|g__Muribaculum.s__Muribaculum_intestinale	0.8729184585
PWY-6700: queuosine biosynthesis|g__Prevotella.s__Prevotella_sp_MGM2	0.2372982591
PWY-6700: queuosine biosynthesis|g__Prevotella.s__Prevotella_sp_MGM1	0.0299577058
PWY-6700: queuosine biosynthesis|g__Muribaculaceae_unclassified.s__Muribaculaceae_bacterium_DSM_103720	0.0021680117
PWY-6700: queuosine biosynthesis|g__Mucispirillum.s__Mucispirillum_schaedleri	0.0000000000
PWY-6700: queuosine biosynthesis|g__Bacteroides.s__Bacteroides_caecimuris	0.4751929848
PWY-6700: queuosine biosynthesis|g__Bacteroides.s__Bacteroides_sartorii	0.2328220813
PWY-6700: queuosine biosynthesis|g__Parabacteroides.s__Parabacteroides_distasonis	0.8710502932
PWY-6700: queuosine biosynthesis|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_28_4	0.1301968649
PWY-6700: queuosine biosynthesis|g__Bacteroides.s__Bacteroides_uniformis_CAG_3	0.8661957924
PWY-6700: queuosine biosynthesis|g__Bacteroides.s__Bacteroides_uniformis	0.5935999399
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II	1.0000000000
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|unclassified	1.0000000000
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Helicobacter.s__Helicobacter_typhlonius	0.3481233432
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Muribaculum.s__Muribaculum_intestinale	0.0046639332
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Prevotella.s__Prevotella_sp_MGM2	0.5775673469
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Muribaculaceae_unclassified.s__Muribaculaceae_bacterium_DSM_103720	0.0201048545
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Mucispirillum.s__Mucispirillum_schaedleri	0.0000008480
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Alistipes.s__Alistipes_timonensis	0.1345562862
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Bacteroides.s__Bacteroides_caecimuris	0.1687864541
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Bacteroides.s__Bacteroides_sartorii	0.0142065295
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Bifidobacterium.s__Bifidobacterium_pseudolongum	0.1985947504
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Parabacteroides.s__Parabacteroides_distasonis	0.3337057034
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_A2	0.4983528778
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_28_4	0.1980392841
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Faecalibaculum.s__Faecalibaculum_rodentium	0.4850203956
