# Pathway	RCE_318_Abundance
UNMAPPED	11198569.4567007348
UNINTEGRATED	5645805.8616474476
UNINTEGRATED|unclassified	2856715.5978582706
UNINTEGRATED|g__Helicobacter.s__Helicobacter_typhlonius	535684.1606982559
UNINTEGRATED|g__Muribaculum.s__Muribaculum_intestinale	467042.9271457162
UNINTEGRATED|g__Prevotella.s__Prevotella_sp_MGM2	242286.5780641247
UNINTEGRATED|g__Muribaculaceae_unclassified.s__Muribaculaceae_bacterium_DSM_103720	172841.0454590177
UNINTEGRATED|g__Bacteroides.s__Bacteroides_sartorii	151713.3186749535
UNINTEGRATED|g__Prevotella.s__Prevotella_sp_MGM1	139686.1528529264
UNINTEGRATED|g__Lactobacillus.s__Lactobacillus_johnsonii	100352.6947036657
UNINTEGRATED|g__Parabacteroides.s__Parabacteroides_distasonis	94448.0586421360
UNINTEGRATED|g__Bacteroides.s__Bacteroides_caecimuris	91762.3873470139
UNINTEGRATED|g__Mucispirillum.s__Mucispirillum_schaedleri	81387.2266813855
UNINTEGRATED|g__Bacteroides.s__Bacteroides_uniformis	78747.2785353387
UNINTEGRATED|g__Acetatifactor.s__Acetatifactor_muris	72676.7061996341
UNINTEGRATED|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_A2	65877.3051825362
UNINTEGRATED|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_28_4	62523.2070605043
UNINTEGRATED|g__Oscillibacter.s__Oscillibacter_sp_1_3	35043.9072968880
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_pseudolongum	27605.6380486976
UNINTEGRATED|g__Bacteroides.s__Bacteroides_faecichinchillae	26508.0194016925
UNINTEGRATED|g__Faecalibaculum.s__Faecalibaculum_rodentium	14877.9122133327
UNINTEGRATED|g__Alistipes.s__Alistipes_timonensis	13848.1527082270
UNINTEGRATED|g__Lactobacillus.s__Lactobacillus_murinus	6973.2418503636
UNINTEGRATED|g__Romboutsia.s__Romboutsia_ilealis	6162.8342813260
UNINTEGRATED|g__Helicobacter.s__Helicobacter_hepaticus	4897.4070275098
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_ASF500	4103.8840740212
UNINTEGRATED|g__Bacteroides.s__Bacteroides_uniformis_CAG_3	2963.6746497598
TRNA-CHARGING-PWY: tRNA charging	5390.3852514941
TRNA-CHARGING-PWY: tRNA charging|unclassified	3420.3286266845
TRNA-CHARGING-PWY: tRNA charging|g__Muribaculaceae_unclassified.s__Muribaculaceae_bacterium_DSM_103720	128.5283525960
TRNA-CHARGING-PWY: tRNA charging|g__Alistipes.s__Alistipes_timonensis	106.1219500556
TRNA-CHARGING-PWY: tRNA charging|g__Bacteroides.s__Bacteroides_caecimuris	55.6038778861
TRNA-CHARGING-PWY: tRNA charging|g__Bacteroides.s__Bacteroides_sartorii	50.6193284290
TRNA-CHARGING-PWY: tRNA charging|g__Firmicutes_unclassified.s__Firmicutes_bacterium_ASF500	22.6986477882
TRNA-CHARGING-PWY: tRNA charging|g__Parabacteroides.s__Parabacteroides_distasonis	21.1991308398
TRNA-CHARGING-PWY: tRNA charging|g__Faecalibaculum.s__Faecalibaculum_rodentium	10.7224295936
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)	5127.2462443459
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|unclassified	2536.3416952038
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Helicobacter.s__Helicobacter_typhlonius	793.2045600871
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Mucispirillum.s__Mucispirillum_schaedleri	164.2215878334
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Bacteroides.s__Bacteroides_caecimuris	87.9806828741
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Bifidobacterium.s__Bifidobacterium_pseudolongum	42.8222748020
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Parabacteroides.s__Parabacteroides_distasonis	29.3147680487
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Faecalibaculum.s__Faecalibaculum_rodentium	17.3873707629
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Helicobacter.s__Helicobacter_hepaticus	13.9016014382
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Bacteroides.s__Bacteroides_uniformis	6.2401733121
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Bacteroides.s__Bacteroides_uniformis_CAG_3	2.6727272059
PWY-7111: pyruvate fermentation to isobutanol (engineered)	5127.2462443459
PWY-7111: pyruvate fermentation to isobutanol (engineered)|unclassified	2536.3416952038
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Helicobacter.s__Helicobacter_typhlonius	793.2045600871
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Muribaculum.s__Muribaculum_intestinale	448.4196772607
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Prevotella.s__Prevotella_sp_MGM2	222.8710293691
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Mucispirillum.s__Mucispirillum_schaedleri	156.2487035343
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Prevotella.s__Prevotella_sp_MGM1	129.5525198673
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Muribaculaceae_unclassified.s__Muribaculaceae_bacterium_DSM_103720	115.7393098882
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Bacteroides.s__Bacteroides_caecimuris	54.2222247940
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Bacteroides.s__Bacteroides_sartorii	45.9845557674
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Bifidobacterium.s__Bifidobacterium_pseudolongum	37.9013913652
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Parabacteroides.s__Parabacteroides_distasonis	22.3272500558
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Helicobacter.s__Helicobacter_hepaticus	21.6453837507
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_28_4	20.8897659281
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Firmicutes_unclassified.s__Firmicutes_bacterium_ASF500	19.3916453713
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_A2	18.8952553581
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Faecalibaculum.s__Faecalibaculum_rodentium	11.3951022627
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Alistipes.s__Alistipes_timonensis	8.1965155460
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Bacteroides.s__Bacteroides_uniformis	3.9488515456
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Bacteroides.s__Bacteroides_uniformis_CAG_3	2.3784129572
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Bacteroides.s__Bacteroides_faecichinchillae	2.2792748962
VALSYN-PWY: L-valine biosynthesis	5127.2462443459
VALSYN-PWY: L-valine biosynthesis|unclassified	2536.3416952038
VALSYN-PWY: L-valine biosynthesis|g__Helicobacter.s__Helicobacter_typhlonius	793.2045600871
VALSYN-PWY: L-valine biosynthesis|g__Muribaculum.s__Muribaculum_intestinale	448.4196772607
VALSYN-PWY: L-valine biosynthesis|g__Prevotella.s__Prevotella_sp_MGM2	222.8710293691
VALSYN-PWY: L-valine biosynthesis|g__Mucispirillum.s__Mucispirillum_schaedleri	164.2215878334
VALSYN-PWY: L-valine biosynthesis|g__Prevotella.s__Prevotella_sp_MGM1	129.5525198673
VALSYN-PWY: L-valine biosynthesis|g__Muribaculaceae_unclassified.s__Muribaculaceae_bacterium_DSM_103720	115.7393098882
VALSYN-PWY: L-valine biosynthesis|g__Bacteroides.s__Bacteroides_caecimuris	87.9806828741
VALSYN-PWY: L-valine biosynthesis|g__Bacteroides.s__Bacteroides_sartorii	45.9845557674
VALSYN-PWY: L-valine biosynthesis|g__Bifidobacterium.s__Bifidobacterium_pseudolongum	42.8222748020
VALSYN-PWY: L-valine biosynthesis|g__Parabacteroides.s__Parabacteroides_distasonis	29.3147680487
VALSYN-PWY: L-valine biosynthesis|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_28_4	20.8897659281
VALSYN-PWY: L-valine biosynthesis|g__Firmicutes_unclassified.s__Firmicutes_bacterium_ASF500	19.3916453713
VALSYN-PWY: L-valine biosynthesis|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_A2	18.8952553581
VALSYN-PWY: L-valine biosynthesis|g__Faecalibaculum.s__Faecalibaculum_rodentium	17.3873707629
VALSYN-PWY: L-valine biosynthesis|g__Helicobacter.s__Helicobacter_hepaticus	13.9016014382
VALSYN-PWY: L-valine biosynthesis|g__Alistipes.s__Alistipes_timonensis	8.1965155460
VALSYN-PWY: L-valine biosynthesis|g__Bacteroides.s__Bacteroides_uniformis	6.2401733121
VALSYN-PWY: L-valine biosynthesis|g__Bacteroides.s__Bacteroides_uniformis_CAG_3	2.6727272059
VALSYN-PWY: L-valine biosynthesis|g__Bacteroides.s__Bacteroides_faecichinchillae	2.2792748962
PWY-5686: UMP biosynthesis	4981.1596248381
PWY-5686: UMP biosynthesis|unclassified	2753.6769828392
PWY-5686: UMP biosynthesis|g__Helicobacter.s__Helicobacter_typhlonius	611.5064347048
PWY-5686: UMP biosynthesis|g__Muribaculum.s__Muribaculum_intestinale	344.8625298388
PWY-5686: UMP biosynthesis|g__Prevotella.s__Prevotella_sp_MGM1	141.1961946181
PWY-5686: UMP biosynthesis|g__Mucispirillum.s__Mucispirillum_schaedleri	114.4809968261
PWY-5686: UMP biosynthesis|g__Muribaculaceae_unclassified.s__Muribaculaceae_bacterium_DSM_103720	104.4240627147
PWY-5686: UMP biosynthesis|g__Bacteroides.s__Bacteroides_sartorii	54.8961436178
PWY-5686: UMP biosynthesis|g__Bacteroides.s__Bacteroides_caecimuris	47.0845129007
PWY-5686: UMP biosynthesis|g__Alistipes.s__Alistipes_timonensis	30.0567309763
PWY-5686: UMP biosynthesis|g__Bifidobacterium.s__Bifidobacterium_pseudolongum	25.3241039863
PWY-5686: UMP biosynthesis|g__Parabacteroides.s__Parabacteroides_distasonis	24.3673460447
PWY-5686: UMP biosynthesis|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_28_4	18.8800365782
PWY-5686: UMP biosynthesis|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_A2	18.2943140998
PWY-5686: UMP biosynthesis|g__Faecalibaculum.s__Faecalibaculum_rodentium	17.6538558472
PWY-5686: UMP biosynthesis|g__Bacteroides.s__Bacteroides_uniformis	4.0319387502
PWY-3841: folate transformations II	4969.8775002744
PWY-3841: folate transformations II|unclassified	3501.2268163676
PWY-3841: folate transformations II|g__Muribaculum.s__Muribaculum_intestinale	384.4276205081
PWY-3841: folate transformations II|g__Prevotella.s__Prevotella_sp_MGM1	135.1407079337
PWY-3841: folate transformations II|g__Muribaculaceae_unclassified.s__Muribaculaceae_bacterium_DSM_103720	105.5435204884
PWY-3841: folate transformations II|g__Alistipes.s__Alistipes_timonensis	63.0113986659
PWY-3841: folate transformations II|g__Bacteroides.s__Bacteroides_sartorii	53.6173342837
PWY-3841: folate transformations II|g__Bacteroides.s__Bacteroides_caecimuris	47.1703626203
PWY-3841: folate transformations II|g__Parabacteroides.s__Parabacteroides_distasonis	25.1714905064
PWY-3841: folate transformations II|g__Faecalibaculum.s__Faecalibaculum_rodentium	17.5795801260
PWY-3841: folate transformations II|g__Lactobacillus.s__Lactobacillus_murinus	11.1479501007
PWY-3841: folate transformations II|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_28_4	10.8063985757
PWY-3841: folate transformations II|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_A2	10.3039386068
PWY-3841: folate transformations II|g__Bacteroides.s__Bacteroides_uniformis_CAG_3	3.4079305957
PWY-6700: queuosine biosynthesis	4777.2671422271
PWY-6700: queuosine biosynthesis|unclassified	3132.1625157233
PWY-6700: queuosine biosynthesis|g__Helicobacter.s__Helicobacter_typhlonius	569.8548210739
PWY-6700: queuosine biosynthesis|g__Muribaculum.s__Muribaculum_intestinale	477.0094178677
PWY-6700: queuosine biosynthesis|g__Prevotella.s__Prevotella_sp_MGM2	272.6290630594
PWY-6700: queuosine biosynthesis|g__Prevotella.s__Prevotella_sp_MGM1	133.9261254515
PWY-6700: queuosine biosynthesis|g__Muribaculaceae_unclassified.s__Muribaculaceae_bacterium_DSM_103720	93.4224151434
PWY-6700: queuosine biosynthesis|g__Mucispirillum.s__Mucispirillum_schaedleri	80.7256208188
PWY-6700: queuosine biosynthesis|g__Bacteroides.s__Bacteroides_caecimuris	62.5254728169
PWY-6700: queuosine biosynthesis|g__Bacteroides.s__Bacteroides_sartorii	53.1038383764
