# Pathway	DSS_339_Abundance
UNMAPPED	13221706.8025517650
UNINTEGRATED	5993115.6435427433
UNINTEGRATED|unclassified	2218242.8467580350
UNINTEGRATED|g__Escherichia.s__Escherichia_coli	807984.2066910121
UNINTEGRATED|g__Bacteroides.s__Bacteroides_caecimuris	759703.6742532207
UNINTEGRATED|g__Prevotella.s__Prevotella_sp_MGM2	258207.8689651552
UNINTEGRATED|g__Bacteroides.s__Bacteroides_sartorii	233741.9881505288
UNINTEGRATED|g__Muribaculum.s__Muribaculum_intestinale	125395.6172605299
UNINTEGRATED|g__Helicobacter.s__Helicobacter_typhlonius	120066.8350447382
UNINTEGRATED|g__Bacteroides.s__Bacteroides_uniformis	99485.9771169016
UNINTEGRATED|g__Parabacteroides.s__Parabacteroides_distasonis	89853.2485658437
UNINTEGRATED|g__Prevotella.s__Prevotella_sp_MGM1	78599.4739199190
UNINTEGRATED|g__Alistipes.s__Alistipes_timonensis	59547.3406873180
UNINTEGRATED|g__Helicobacter.s__Helicobacter_ganmani	37102.2374622471
UNINTEGRATED|g__Lactobacillus.s__Lactobacillus_murinus	33772.3962787798
UNINTEGRATED|g__Oscillibacter.s__Oscillibacter_sp_1_3	32972.6258820081
UNINTEGRATED|g__Lactobacillus.s__Lactobacillus_johnsonii	28053.6613872104
UNINTEGRATED|g__Mucispirillum.s__Mucispirillum_schaedleri	21052.9386220345
UNINTEGRATED|g__Lactobacillus.s__Lactobacillus_reuteri	11875.3730482008
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_pseudolongum	9015.1482972892
UNINTEGRATED|g__Helicobacter.s__Helicobacter_hepaticus	8093.1399993042
UNINTEGRATED|g__Bacteroides.s__Bacteroides_uniformis_CAG_3	6701.1071941373
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_ASF500	3441.5226203009
UNINTEGRATED|g__Romboutsia.s__Romboutsia_ilealis	1948.5147067028
PWY-1042: glycolysis IV (plant cytosol)	5698.4163737789
PWY-1042: glycolysis IV (plant cytosol)|unclassified	4088.2083022762
PWY-1042: glycolysis IV (plant cytosol)|g__Escherichia.s__Escherichia_coli	336.5492948716
PWY-1042: glycolysis IV (plant cytosol)|g__Bacteroides.s__Bacteroides_sartorii	253.6408275310
PWY-1042: glycolysis IV (plant cytosol)|g__Alistipes.s__Alistipes_timonensis	114.6564211394
PWY-3841: folate transformations II	5651.4528767450
PWY-3841: folate transformations II|unclassified	4089.8018044174
PWY-3841: folate transformations II|g__Bacteroides.s__Bacteroides_caecimuris	745.9676404460
PWY-3841: folate transformations II|g__Escherichia.s__Escherichia_coli	164.3306872389
PWY-3841: folate transformations II|g__Bacteroides.s__Bacteroides_sartorii	138.7741779785
PWY-3841: folate transformations II|g__Alistipes.s__Alistipes_timonensis	113.0651322072
PWY-3841: folate transformations II|g__Muribaculum.s__Muribaculum_intestinale	62.0940471008
PWY-3841: folate transformations II|g__Prevotella.s__Prevotella_sp_MGM1	44.1301881201
PWY-3841: folate transformations II|g__Lactobacillus.s__Lactobacillus_murinus	37.1300553968
