# Gene Family	Control_327_Abundance-CPM	Control_328_Abundance-CPM	Control_330_Abundance-CPM	DSS_334_Abundance-CPM	DSS_339_Abundance-CPM	DSS_treatedp_Abundance-CPM	D_Control_Abundance-CPM	D_DSS_Abundance-CPM	D_RCE_Abundance-CPM	D_RCE_plus_DSS_Abundance-CPM	RCE_318_Abundance-CPM	RCE_319_Abundance-CPM	RCE_322_Abundance-CPM	RCE_plus_DSS_301_Abundance-CPM	RCE_plus_DSS_305_Abundance-CPM	RCE_plus_DSS_313_Abundance-CPM	Start_Abundance-CPM
UNMAPPED	839709	841034	874147	843025	759998	797327	886895	828768	856849	778375	902344	889089	892905	846772	825555	862702	892790
UNGROUPED	152243	148996	119709	138988	216022	192509	101309	150974	131480	200622	89482.6	101842	100961	140833	157569	125223	97861.1
UNGROUPED|g__Alistipes.s__Alistipes_indistinctus	0	0	0	996.105	0	0	0	285.247	0	0	0	0	0	0	0	0	0
UNGROUPED|g__Alistipes.s__Alistipes_putredinis	0	0	0	0	0	0	0	941.86	0	0	0	0	0	0	0	0	0
UNGROUPED|g__Anaerotruncus.s__Anaerotruncus_sp_G3_2012	4818.56	1814.19	3576.56	0	0	0	2527.56	0	0	0	0	0	0	0	0	0	1465.7
UNGROUPED|g__Bacteroidales_noname.s__Bacteroidales_bacterium_ph8	0	0	0	0	0	0	348.905	0	346.052	0	0	0	0	0	0	0	0
UNGROUPED|g__Bacteroides.s__Bacteroides_ovatus	0	0	0	0	0	0	0	0	8054.13	15937.2	0	0	0	0	0	0	0
UNGROUPED|g__Bacteroides.s__Bacteroides_uniformis	0	4569.09	0	8898.59	8267.08	4221.65	11353.4	8405.4	20495	7575.9	7611.25	0	10610.3	6345.3	4404.92	6336.84	8616.7
UNGROUPED|g__Bacteroides.s__Bacteroides_vulgatus	2753.45	2131.67	0	15128.2	9891.73	7132.22	4720.75	15276	9111.81	9762.65	4578.61	0	2702.4	6535.49	4407.94	7794.86	4775.84
UNGROUPED|g__Bacteroides.s__Bacteroides_xylanisolvens	0	3032.15	0	13518.1	31387.6	8701.06	5503.95	25131.7	5102.09	20222.6	0	5133.57	0	6346.86	9515.37	8879.18	4762.75
UNGROUPED|g__Bifidobacterium.s__Bifidobacterium_pseudolongum	912.504	692.969	201.261	246.905	414.887	914.31	224.065	2227.16	1451.35	517.044	1247.2	506.058	1321	283.087	239.491	679.034	461.68
UNGROUPED|g__Blautia.s__Ruminococcus_torques	2119.58	0	1176.62	0	0	548.112	0	0	0	946.804	0	1243.55	0	1647.6	2227.64	0	0
UNGROUPED|g__Burkholderiales_noname.s__Burkholderiales_bacterium_1_1_47	95.0503	157.023	45.0292	94.0405	19.5121	0	135.585	192.411	152.057	0	180.31	66.7175	252.852	64.6996	0	161.172	179.08
UNGROUPED|g__Clostridium.s__Clostridium_sp_ASF502	10667.8	0	0	0	0	0	0	0	0	3959.91	0	0	0	0	0	0	0
UNGROUPED|g__Desulfovibrio.s__Desulfovibrio_desulfuricans	1.62243	0.357338	0.868778	4.88481	0	1.8924	1.09732	2.16438	3.43057	2.28014	2.10498	1.76461	2.02498	6.574	9.64417	6.72595	1.59658
UNGROUPED|g__Dorea.s__Dorea_sp_5_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9847.66	0	0
UNGROUPED|g__Enterorhabdus.s__Enterorhabdus_caecimuris	46.4158	33.5213	22.8305	50.6306	53.5746	0	99.4266	94.6544	42.5562	64.8929	47.5704	38.663	0	38.9045	0	41.4404	54.7899
UNGROUPED|g__Escherichia.s__Escherichia_coli	0	0	0	2509.66	22694	0	0	5259.34	0	1704.07	0	0	0	1177.41	0	0	0
UNGROUPED|g__Eubacterium.s__Eubacterium_plexicaudatum	14060.4	4347.06	8886.03	0	0	0	5379.26	0	3294.12	4284.85	3609.22	7494.03	4836.36	10197.9	11475.3	7259.93	3972.42
UNGROUPED|g__Helicobacter.s__Helicobacter_hepaticus	1377.6	2418.28	1742.3	2333.76	628.008	746.668	2589.85	1626.93	698.788	2159.69	1883.49	1666.03	903.934	2345.51	7347.57	939.657	1870.57
UNGROUPED|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_3_1_46FAA	961.202	283.383	483.386	0	0	190.187	397.209	0	238.052	314.995	517.903	870.764	558.033	769.225	915.807	0	293.38
UNGROUPED|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_8_1_57FAA	208.04	68.6685	0	0	0	0	0	0	0	0	0	141.894	0	0	0	0	0
UNGROUPED|g__Lactobacillus.s__Lactobacillus_johnsonii	2125.94	1616.61	685.678	0	233.522	0	690.361	472.195	1184.38	305.048	314.034	670.698	495.144	715.456	396.448	49.7571	565.649
UNGROUPED|g__Lactobacillus.s__Lactobacillus_murinus	1040.2	1316.73	384.14	338.61	1864.46	171.676	402.137	963.149	514.002	855.052	571.388	199.325	119.255	108.84	67.9506	52.237	467.856
UNGROUPED|g__Lactobacillus.s__Lactobacillus_reuteri	993.749	812.576	735.675	0	265.91	0	359.043	629.711	291.915	380.269	112.217	253.173	126.03	345.565	181.602	81.74	118.388
UNGROUPED|g__Lactobacillus.s__Lactobacillus_sp_ASF360	2612.57	1702.81	716.714	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNGROUPED|g__Mucispirillum.s__Mucispirillum_schaedleri	1268.61	1533.17	5077.02	2568.79	1210.64	2465.04	3006.15	499.539	1628.03	2259.32	4816.6	6739.22	835.496	10374.5	8482.31	3199.01	2863.84
UNGROUPED|g__Oscillibacter.s__Oscillibacter_sp_1_3	4502.53	0	0	0	0	0	0	0	0	0	0	0	0	0	8396.43	0	0
UNGROUPED|g__Parabacteroides.s__Parabacteroides_merdae	0	3505.75	0	7193.68	5404.86	3548.42	4535.5	7624.06	6607.65	5817.54	5214.21	4633.29	6229.15	5910.06	2693.16	5979.82	4690.8
